id,lat,lon,business_type,final_probability,base_business_score,sentiment_score,trends_demand_score,saturation_score,matched_sentiment_location,distance_to_sentiment_km
node/2296195347,43.06918499999999,-89.3923898,gym,50.3,57.5,21.6,36.5,1.0,general madison,0.84
way/107454783,43.07093661462544,-89.4522959346128,bakery,50.2,46.4,40.0,20.6,1.0,west side,2.35
node/11167096805,43.05006699999999,-89.3920584,hardware store,50.2,64.7,20.0,24.6,1.0,general madison,2.67
way/37308634,43.074806106649646,-89.4441008496207,grocery store,50.2,51.0,33.3,25.0,0.7,campus,2.57
way/105672012,43.1273028782192,-89.29562357000532,coffee shop,50.2,41.1,42.9,26.2,0.7,east side,6.45
way/62164927,43.052617940773146,-89.47592550158006,bar,50.2,48.8,30.6,35.0,0.7,west side,1.42
way/43926492,43.05209980648997,-89.50251034738326,bar,50.1,48.4,30.6,35.0,1.0,west side,2.32
node/9898292787,43.0693148,-89.392177,gym,50.1,57.8,20.5,36.5,1.0,downtown,0.84
node/13270880290,43.0754897,-89.3856372,convenience store,50.1,45.1,50.0,2.5,0.0,downtown,0.21
node/7126784708,43.0726154,-89.387835,restaurant,50.1,34.0,47.6,30.0,0.0,downtown,0.35
way/374720809,43.05761232897419,-89.50673069904921,coffee shop,50.1,33.4,50.0,26.2,0.0,junction,0.76
node/7259543422,43.074288,-89.390416,convenience store,50.1,45.1,50.0,2.5,0.0,downtown,0.52
node/9427078625,43.03668480000002,-89.4151298,restaurant,50.0,54.3,26.7,30.0,1.0,monroe street,1.65
node/4925300456,43.0407409,-89.3953648,restaurant,50.0,54.7,26.7,30.0,1.0,monroe street,1.47
node/7259543422,43.074288,-89.390416,bar,49.9,45.1,33.3,35.0,0.0,isthmus,0.09
node/13270880290,43.0754897,-89.3856372,daycare,49.9,37.5,50.0,16.3,0.0,downtown,0.21
way/374720809,43.05761232897419,-89.50673069904921,urgent care,49.9,33.4,50.0,25.1,0.0,west side,2.32
way/1135060521,43.12621310768891,-89.3042274176044,gym,49.8,57.1,20.0,36.5,1.0,east side,6.07
node/9929920560,43.0531595,-89.4844202,bakery,49.8,45.0,40.0,20.6,1.0,west side,1.36
node/11167096805,43.05006699999999,-89.3920584,restaurant,49.8,53.7,26.7,30.0,1.0,monroe street,1.26
node/4471944660,43.1086945,-89.3176002,bar,49.8,52.7,25.3,35.0,1.0,east side,3.88
node/956773894,43.0972453,-89.3152071,bar,49.8,52.7,25.3,35.0,1.0,east side,2.75
node/1182271388,43.0748612,-89.3874147,convenience store,49.7,43.9,50.0,2.5,0.0,downtown,0.29
way/1134399617,43.0719294018631,-89.45223628239545,bakery,49.7,44.7,40.0,20.6,0.7,west side,2.38
node/9898292787,43.0693148,-89.392177,convenience store,49.7,43.8,50.0,2.5,1.0,downtown,0.84
way/86579194,43.0542186082353,-89.50844628851435,late night food,49.7,51.5,37.5,12.0,1.0,west side,2.6
node/3245483866,43.05513059999999,-89.4999204,bakery,49.7,44.8,40.0,20.6,0.7,west side,1.96
node/2522752354,43.0746727,-89.3903719,restaurant,49.7,32.4,47.6,30.0,0.0,downtown,0.52
way/103183617,43.0733723384285,-89.38325501338285,convenience store,49.7,43.9,50.0,2.5,0.0,downtown,0.09
node/7216954213,43.0747156,-89.39210400000002,restaurant,49.7,32.4,47.6,30.0,0.0,downtown,0.66
way/347311465,43.08226448792176,-89.37960634321263,daycare,49.6,36.4,50.0,16.3,0.3,downtown,0.99
node/1182271388,43.0748612,-89.3874147,bar,49.6,43.9,33.3,35.0,0.0,isthmus,0.21
node/4420709485,43.0945861,-89.36413690000002,pharmacy,49.6,48.8,33.3,25.3,1.0,east washington,1.96
way/37308634,43.074806106649646,-89.4441008496207,bakery,49.6,51.0,33.3,20.6,0.7,campus,2.57
node/9898292787,43.0693148,-89.392177,bar,49.6,43.8,33.3,35.0,1.0,isthmus,0.66
node/8773830624,43.128389899999995,-89.3611411,grocery store,49.6,57.2,25.0,25.0,1.0,east washington,5.54
node/11074151817,43.09860369999999,-89.3487346,grocery store,49.6,57.0,25.0,25.0,1.0,east washington,2.22
node/2522840403,43.073012,-89.3986815,bakery,49.5,35.0,49.1,20.6,0.0,general madison,0.2
node/1182271388,43.0748612,-89.3874147,daycare,49.5,36.2,50.0,16.3,0.0,downtown,0.29
node/956773894,43.0972453,-89.3152071,gym,49.5,55.9,20.0,36.5,1.0,east side,2.75
node/2296195347,43.06918499999999,-89.3923898,bar,49.5,43.5,33.3,35.0,1.0,isthmus,0.68
way/347311465,43.08226448792176,-89.37960634321263,daycare,49.5,36.0,50.0,16.3,0.3,downtown,0.99
way/103183617,43.0733723384285,-89.38325501338285,bar,49.5,43.9,32.8,35.0,0.0,downtown,0.09
way/103183617,43.0733723384285,-89.38325501338285,daycare,49.5,36.2,50.0,16.3,0.0,downtown,0.09
way/669758023,43.034228860502786,-89.4455499347774,restaurant,49.5,52.7,26.7,30.0,1.0,monroe street,3.58
way/297754313,43.1132150211739,-89.34823242844925,pharmacy,49.4,48.0,33.3,25.3,1.0,east washington,3.84
node/8505198887,43.07490049999999,-89.39072080000001,daycare,49.4,35.6,50.0,16.3,0.0,downtown,0.55
node/6340379852,43.0749307,-89.39238,daycare,49.3,35.3,50.0,16.3,0.0,downtown,0.69
node/13270880290,43.0754897,-89.3856372,late night food,49.3,37.5,50.0,12.0,0.0,capitol square,0.16
node/11074151817,43.09860369999999,-89.3487346,grocery store,49.3,55.9,25.0,25.0,1.0,east washington,2.22
node/11165568572,43.0922149,-89.3599731,pharmacy,49.3,47.5,33.3,25.3,0.7,east washington,1.58
node/7126784708,43.0726154,-89.387835,convenience store,49.2,41.6,50.0,2.5,0.0,downtown,0.35
node/9929920560,43.0531595,-89.4844202,bar,49.2,45.0,30.6,35.0,1.0,west side,1.36
node/3245483866,43.05513059999999,-89.4999204,bar,49.1,44.8,30.6,35.0,0.7,west side,1.96
node/5642484847,43.0749071,-89.3819968,convenience store,49.1,41.3,50.0,2.5,0.0,downtown,0.19
way/433662536,43.06239599285799,-89.40046167839698,gym,49.1,52.7,21.6,36.5,1.0,general madison,1.19
node/5661434236,43.0752286,-89.3903163,daycare,49.0,34.0,50.0,16.3,0.0,downtown,0.53
node/7126784708,43.0726154,-89.387835,daycare,49.0,34.0,50.0,16.3,0.0,downtown,0.35
way/347311465,43.08226448792176,-89.37960634321263,late night food,49.0,36.4,50.0,12.0,0.3,capitol square,0.9
node/9427078625,43.03668480000002,-89.4151298,restaurant,49.0,50.8,26.7,30.0,1.0,monroe street,1.65
node/9929920560,43.0531595,-89.4844202,grocery store,49.0,55.0,25.0,25.0,1.0,west side,1.36
node/7126784708,43.0726154,-89.387835,bar,49.0,41.6,33.3,35.0,0.0,isthmus,0.32
way/62164927,43.052617940773146,-89.47592550158006,late night food,49.0,48.8,37.5,12.0,0.7,west side,1.42
way/43926492,43.05209980648997,-89.50251034738326,late night food,48.9,48.4,37.5,12.0,1.0,west side,2.32
way/107454783,43.07093661462544,-89.4522959346128,grocery store,48.9,54.3,25.0,25.0,1.0,west side,2.35
way/347311465,43.08226448792176,-89.37960634321263,late night food,48.9,36.0,50.0,12.0,0.3,capitol square,0.9
node/4420709485,43.0945861,-89.36413690000002,grocery store,48.8,54.0,25.0,25.0,1.0,east washington,1.96
node/5029100532,43.0939931,-89.3411095,grocery store,48.8,54.2,25.0,25.0,1.0,east washington,1.94
node/7259543422,43.074288,-89.390416,gym,48.8,52.7,20.5,36.5,0.0,downtown,0.52
node/956773581,43.0940178,-89.3414668,grocery store,48.8,54.2,25.0,25.0,1.0,east washington,1.93
node/5642484847,43.0749071,-89.3819968,daycare,48.8,33.3,50.0,16.3,0.0,downtown,0.19
way/297754313,43.1132150211739,-89.34823242844925,grocery store,48.8,54.0,25.0,25.0,1.0,east washington,3.84
node/11074151817,43.09860369999999,-89.3487346,bar,48.8,57.0,16.9,35.0,1.0,east washington,2.22
node/7324078516,43.0750199,-89.3899089,daycare,48.8,33.4,50.0,16.3,0.0,downtown,0.49
way/669758023,43.034228860502786,-89.4455499347774,restaurant,48.7,49.3,26.7,30.0,1.0,monroe street,3.58
way/43926492,43.05209980648997,-89.50251034738326,pharmacy,48.7,58.5,20.0,25.3,1.0,junction,1.46
node/956773894,43.0972453,-89.3152071,gym,48.7,52.7,20.0,36.5,1.0,east side,2.75
way/456695749,43.06623340255474,-89.41478794793663,pharmacy,48.7,58.5,20.0,25.3,1.0,general madison,1.34
node/4471944660,43.1086945,-89.3176002,gym,48.7,52.7,20.0,36.5,1.0,east side,3.88
node/5584566093,43.07222829999999,-89.3983984,bakery,48.7,31.8,49.1,20.6,0.0,general madison,0.25
node/591443374,43.0574728,-89.5049543,bakery,48.7,41.0,40.0,20.6,0.0,west side,2.19
node/2522752349,43.0746247,-89.3934014,gym,48.6,50.8,21.6,36.5,0.0,general madison,0.66
node/2522752354,43.0746727,-89.3903719,gym,48.5,51.8,20.5,36.5,0.0,downtown,0.52
node/7216954213,43.0747156,-89.39210400000002,daycare,48.5,32.4,50.0,16.3,0.0,downtown,0.66
node/7216954213,43.0747156,-89.39210400000002,gym,48.5,51.8,20.5,36.5,0.0,downtown,0.66
way/433662536,43.06239599285799,-89.40046167839698,pharmacy,48.5,57.8,20.0,25.3,1.0,general madison,1.19
node/8319452818,43.07338489999999,-89.3944438,gym,48.5,50.5,21.6,36.5,0.0,general madison,0.55
node/2522752354,43.0746727,-89.3903719,daycare,48.5,32.4,50.0,16.3,0.0,downtown,0.52
node/6340379852,43.0749307,-89.39238,gym,48.5,51.5,20.5,36.5,0.0,downtown,0.69
node/5029100532,43.0939931,-89.3411095,grocery store,48.5,53.1,25.0,25.0,1.0,east washington,1.94
node/3240429353,43.0574313,-89.3989271,hardware store,48.5,58.2,20.0,24.6,0.7,general madison,1.75
node/956773581,43.0940178,-89.3414668,grocery store,48.5,53.1,25.0,25.0,1.0,east washington,1.93
node/11074151817,43.09860369999999,-89.3487346,bar,48.5,55.9,16.9,35.0,1.0,east washington,2.22
node/11477165381,43.0640971,-89.4181216,pharmacy,48.5,57.8,20.0,25.3,1.0,general madison,1.7
way/107454783,43.07093661462544,-89.4522959346128,late night food,48.4,46.4,37.5,12.0,1.0,west side,2.35
way/37308634,43.074806106649646,-89.4441008496207,grocery store,48.4,44.3,33.3,25.0,0.7,campus,2.57
node/2296195347,43.06918499999999,-89.3923898,hardware store,48.4,57.5,20.0,24.6,1.0,general madison,0.84
way/433662536,43.06239599285799,-89.40046167839698,hardware store,48.4,57.8,20.0,24.6,1.0,general madison,1.19
way/103183617,43.0733723384285,-89.38325501338285,coffee shop,48.4,36.2,40.7,26.2,0.0,downtown,0.09
