location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence,lat,lon
downtown,grocery store,0.32,0.0,0.68,0.2509794116020202,0.7332605731487274,25,False,43.074,-89.384
willy street,coworking space,0.34375,0.09375,0.5625,0.2390715703368187,0.8026853650808334,32,False,43.0669,-89.3704
downtown,coworking space,0.3333333333333333,0.0833333333333333,0.5833333333333334,0.2321714982390403,0.7941574330131213,24,False,43.074,-89.384
monroe street,general business,0.4137931034482758,0.0689655172413793,0.5172413793103449,0.231028217693855,0.7065599797100857,29,False,43.0505,-89.4076
west side,late night food,0.375,0.0,0.625,0.216754138469696,0.7245615795254707,8,True,43.065,-89.48
atwood,bar,0.348314606741573,0.1235955056179775,0.5280898876404494,0.2033476199996605,0.7934491908952092,89,False,43.0652,-89.3621
west side,grocery store,0.25,0.0,0.75,0.2007837941249211,0.7027373636762301,12,False,43.065,-89.48
junction,coffee shop,0.5,0.5,0.0,0.195667564868927,0.7868095636367798,2,True,43.064,-89.51
campus,bar,0.3076923076923077,0.0769230769230769,0.6153846153846154,0.1893112338506258,0.7503484579233023,13,False,43.0766,-89.4125
monona,grocery store,0.3333333333333333,0.0,0.6666666666666666,0.1845390796661377,0.5383498271306356,3,True,43.062,-89.334
general madison,restaurant,0.3971830985915493,0.2112676056338028,0.3915492957746478,0.1843828626081977,0.7488845277000481,355,False,43.0731,-89.4012
east washington,restaurant,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.170993619494968,0.7523206737306383,9,True,43.0789,-89.3532
general madison,coffee shop,0.3882978723404255,0.175531914893617,0.4361702127659574,0.1695995671634978,0.7395746614387695,188,False,43.0731,-89.4012
campus,coffee shop,0.25,0.0,0.75,0.1670494377613067,0.6544616222381592,4,True,43.0766,-89.4125
monona,restaurant,0.2,0.0,0.8,0.165721321105957,0.692839628458023,5,True,43.062,-89.334
middleton,bar,0.2,0.0,0.8,0.1620664119720459,0.6906497359275818,5,True,43.0972,-89.5043
campus,restaurant,0.2857142857142857,0.0,0.7142857142857143,0.1580567019326346,0.5917352523122515,7,True,43.0766,-89.4125
atwood,restaurant,0.2857142857142857,0.0952380952380952,0.6190476190476191,0.157175858815511,0.800408008552733,21,False,43.0652,-89.3621
middleton,general business,0.6,0.4,0.0,0.1528518140316009,0.6868363201618195,5,True,43.0972,-89.5043
fitchburg,gym,0.25,0.0,0.75,0.1523894369602203,0.6568938121199608,4,True,42.9609,-89.4237
willy street,grocery store,0.3076923076923077,0.1538461538461538,0.5384615384615384,0.1488296458354363,0.6656924233986781,13,False,43.0669,-89.3704
atwood,general business,0.2444444444444444,0.0888888888888888,0.6666666666666666,0.1451099488470289,0.7223208990361956,45,False,43.0652,-89.3621
west side,bar,0.3055555555555556,0.1388888888888889,0.5555555555555556,0.1412912654104056,0.7416244687305557,108,False,43.065,-89.48
willy street,bar,0.2978723404255319,0.1489361702127659,0.5531914893617021,0.1383386596720269,0.7713561375090416,47,False,43.0669,-89.3704
atwood,coffee shop,0.3333333333333333,0.1666666666666666,0.5,0.1345217724641164,0.7722816516955694,6,True,43.0652,-89.3621
downtown,bar,0.3280182232346241,0.1799544419134396,0.4920273348519362,0.1337044619889357,0.7408411310039511,439,False,43.074,-89.384
downtown,late night food,0.21875,0.09375,0.6875,0.1305570751428604,0.7268215296790004,32,False,43.074,-89.384
isthmus,bar,0.3333333333333333,0.1666666666666666,0.5,0.1263235608736674,0.7711422940095266,6,True,43.075,-89.39
tenney,general business,0.2,0.0,0.8,0.1244747638702392,0.6964072823524475,5,True,43.085,-89.37
east side,general business,0.3037974683544304,0.1518987341772152,0.5443037974683544,0.1234204987936382,0.7288412036775034,79,False,43.075,-89.33
camp randall,general business,0.25,0.25,0.5,0.1214584484696388,0.6869282498955727,4,True,43.07,-89.4128
sun prairie,bar,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1035787860552469,0.7312252124150594,3,True,43.1836,-89.2137
monroe street,restaurant,0.2666666666666666,0.1333333333333333,0.6,0.1028585433959961,0.8434157292048137,15,False,43.0505,-89.4076
east washington,grocery store,0.25,0.25,0.5,0.0959972441196441,0.7347706258296967,4,True,43.0789,-89.3532
campus,grocery store,0.3333333333333333,0.1666666666666666,0.5,0.0949266850948333,0.7853544652462006,6,True,43.0766,-89.4125
east side,coffee shop,0.4285714285714285,0.2857142857142857,0.2857142857142857,0.0931315422058105,0.7786101869174412,7,True,43.075,-89.33
west side,daycare,0.2,0.2,0.6,0.0889719724655151,0.7417379975318908,5,True,43.065,-89.48
capitol square,late night food,0.5,0.5,0.0,0.0866995453834533,0.7070971131324768,2,True,43.0748,-89.3839
middleton,pharmacy,0.2727272727272727,0.1818181818181818,0.5454545454545454,0.0803636529228904,0.6992546103217385,11,False,43.0972,-89.5043
capitol square,bar,0.25,0.25,0.5,0.0679007470607757,0.7145889401435852,4,True,43.0748,-89.3839
downtown,gym,0.2051282051282051,0.1538461538461538,0.6410256410256411,0.0527795048860403,0.706589210491914,39,False,43.074,-89.384
junction,pharmacy,0.2,0.2,0.6,0.051592743396759,0.7976237416267395,5,True,43.064,-89.51
downtown,general business,0.2524084778420039,0.2023121387283237,0.5452793834296724,0.0512160759325891,0.723340403482404,519,False,43.074,-89.384
east side,bar,0.2527472527472527,0.2197802197802197,0.5274725274725275,0.0286078564413301,0.7450876150812421,91,False,43.075,-89.33
general madison,late night food,0.3035714285714285,0.3035714285714285,0.3928571428571428,0.0262020006775856,0.7391337140330246,56,False,43.0731,-89.4012
west side,urgent care,0.5,0.5,0.0,0.0121196508407592,0.6365085244178772,2,True,43.065,-89.48
campus,general business,0.238095238095238,0.2142857142857142,0.5476190476190477,0.0092911251953669,0.6847315593844369,42,False,43.0766,-89.4125
capitol square,coworking space,0.0,0.0,1.0,0.0,0.6681573987007141,1,True,43.0748,-89.3839
west side,coworking space,0.0,0.0,1.0,0.0,0.76701520383358,4,True,43.065,-89.48
capitol square,urgent care,0.0,0.0,1.0,0.0,0.665304958820343,1,True,43.0748,-89.3839
monroe street,bakery,0.0,0.0,1.0,0.0,0.8240222930908203,1,True,43.0505,-89.4076
east side,urgent care,0.0,0.0,1.0,0.0,0.7227514982223511,2,True,43.075,-89.33
marquette,restaurant,0.0,0.0,1.0,0.0,0.9496946334838868,1,True,43.08,-89.365
atwood,gym,0.0,0.0,1.0,0.0,0.6985794305801392,2,True,43.0652,-89.3621
sun prairie,pharmacy,0.0,0.0,1.0,0.0,0.5014542937278748,1,True,43.1836,-89.2137
vilas,bar,0.0,0.0,1.0,0.0,0.8533128499984741,1,True,43.055,-89.41
verona,restaurant,0.0,0.0,1.0,0.0,0.5742564797401428,1,True,42.9919,-89.5332
atwood,urgent care,0.0,0.0,1.0,0.0,0.7220779061317444,2,True,43.0652,-89.3621
camp randall,bakery,0.0,0.0,1.0,0.0,0.7841866612434387,1,True,43.07,-89.4128
verona,coffee shop,0.0,0.0,1.0,0.0,0.649202823638916,1,True,42.9919,-89.5332
waunakee,general business,0.0,0.0,1.0,0.0,0.684102455774943,3,True,43.1919,-89.4554
tenney,coffee shop,0.0,0.0,1.0,0.0,0.6842732429504395,1,True,43.085,-89.37
camp randall,urgent care,0.0,0.0,1.0,0.0,0.5261685848236084,1,True,43.07,-89.4128
atwood,late night food,0.0,0.0,1.0,0.0,0.8043442815542221,4,True,43.0652,-89.3621
campus,daycare,0.0,0.0,1.0,0.0,0.940886616706848,1,True,43.0766,-89.4125
sun prairie,daycare,0.0,0.0,1.0,0.0,0.605846107006073,1,True,43.1836,-89.2137
south side,general business,0.0,0.0,1.0,0.0,0.672633022069931,2,True,43.03,-89.38
south side,bakery,0.0,0.0,1.0,0.0,0.9201607704162598,1,True,43.03,-89.38
park street,coworking space,0.0,0.0,1.0,0.0,0.7127484679222107,1,True,43.055,-89.39
campus,convenience store,0.0,0.0,1.0,0.0,0.8935574889183044,1,True,43.0766,-89.4125
north side,restaurant,0.0,0.0,1.0,0.0,0.7745001912117004,1,True,43.11,-89.38
north side,late night food,0.0,0.0,1.0,0.0,0.7998959422111511,1,True,43.11,-89.38
monona,coworking space,0.0,0.0,1.0,0.0,0.5128817558288574,2,True,43.062,-89.334
monona,general business,0.0,0.0,1.0,0.0,0.6325750052928925,2,True,43.062,-89.334
vilas,daycare,0.0,0.0,1.0,0.0,0.5534713268280029,1,True,43.055,-89.41
cottage grove,urgent care,0.0,0.0,1.0,0.0,0.8854931592941284,1,True,43.0761,-89.1996
isthmus,grocery store,0.0,0.0,1.0,0.0,0.6587581634521484,1,True,43.075,-89.39
atwood,coworking space,0.0,0.0,1.0,0.0,0.8007954657077789,2,True,43.0652,-89.3621
fitchburg,coworking space,0.0,0.0,1.0,0.0,0.8215934634208679,1,True,42.9609,-89.4237
west side,gym,0.0,0.0,1.0,0.0,0.727702283859253,10,False,43.065,-89.48
fitchburg,bar,0.0,0.0,1.0,0.0,0.6424916982650757,2,True,42.9609,-89.4237
fish hatchery,gym,0.0,0.0,1.0,0.0,0.8020377159118652,1,True,43.04,-89.39
hilldale,bar,0.0,0.0,1.0,0.0,0.4775194525718689,1,True,43.073,-89.45
east side,pharmacy,0.0,0.0,1.0,0.0,0.6610862910747528,2,True,43.075,-89.33
east side,daycare,0.0,0.0,1.0,0.0,0.9009281992912292,1,True,43.075,-89.33
east side,convenience store,0.0,0.0,1.0,0.0,0.7244021495183309,3,True,43.075,-89.33
isthmus,coffee shop,0.0,0.0,1.0,0.0,0.8419305682182312,1,True,43.075,-89.39
isthmus,general business,0.0,0.0,1.0,0.0,0.6614621400833129,5,True,43.075,-89.39
isthmus,late night food,0.0,0.0,1.0,0.0,0.8768313527107239,1,True,43.075,-89.39
willy street,bakery,0.0,0.0,1.0,0.0,0.8134667277336121,1,True,43.0669,-89.3704
willy street,pharmacy,0.0,0.0,1.0,0.0,0.8235372304916382,1,True,43.0669,-89.3704
east washington,daycare,0.0,0.0,1.0,0.0,0.9105361104011536,1,True,43.0789,-89.3532
