location_tag,business_type,positive_ratio,negative_ratio,neutral_ratio,overall_sentiment,avg_confidence,total_entries,low_confidence
campus,grocery store,0.3333333333333333,0.16666666666666666,0.5,0.09492668509483336,0.7853544652462006,6,True
east side,coffee shop,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.09313154220581055,0.7786101869174412,7,True
west side,daycare,0.2,0.2,0.6,0.08897197246551516,0.7417379975318908,5,True
capitol square,late night food,0.5,0.5,0.0,0.08669954538345337,0.7070971131324768,2,True
middleton,pharmacy,0.2727272727272727,0.18181818181818182,0.5454545454545454,0.0803636529228904,0.6992546103217385,11,False
capitol square,bar,0.25,0.25,0.5,0.06790074706077576,0.7145889401435852,4,True
downtown,gym,0.20512820512820512,0.15384615384615385,0.6410256410256411,0.05277950488604032,0.706589210491914,39,False
junction,pharmacy,0.2,0.2,0.6,0.05159274339675903,0.7976237416267395,5,True
downtown,general business,0.2524084778420039,0.2023121387283237,0.5452793834296724,0.05121607593258911,0.723340403482404,519,False
east side,bar,0.25274725274725274,0.21978021978021978,0.5274725274725275,0.028607856441330123,0.7450876150812421,91,False
general madison,late night food,0.30357142857142855,0.30357142857142855,0.39285714285714285,0.026202000677585602,0.7391337140330246,56,False
west side,urgent care,0.5,0.5,0.0,0.012119650840759277,0.6365085244178772,2,True
campus,general business,0.23809523809523808,0.21428571428571427,0.5476190476190477,0.009291125195366996,0.6847315593844369,42,False
capitol square,coworking space,0.0,0.0,1.0,0.0,0.6681573987007141,1,True
west side,coworking space,0.0,0.0,1.0,0.0,0.76701520383358,4,True
capitol square,urgent care,0.0,0.0,1.0,0.0,0.665304958820343,1,True
monroe street,bakery,0.0,0.0,1.0,0.0,0.8240222930908203,1,True
east side,urgent care,0.0,0.0,1.0,0.0,0.7227514982223511,2,True
marquette,restaurant,0.0,0.0,1.0,0.0,0.9496946334838868,1,True
atwood,gym,0.0,0.0,1.0,0.0,0.6985794305801392,2,True
sun prairie,pharmacy,0.0,0.0,1.0,0.0,0.5014542937278748,1,True
vilas,bar,0.0,0.0,1.0,0.0,0.8533128499984741,1,True
verona,restaurant,0.0,0.0,1.0,0.0,0.5742564797401428,1,True
